pmid	text	WhatIsIt
PMC5805298	ACE: angiotensin converting enzyme; AWM: abnormal wall motion; CAD: coronary artery disease; CMR: cardiac magnetic resonance; GFR: glomerular filtration rate; LAD: left anterior descending artery; LVEDVi: indexed left ventricle end diastolic volume; LVEF: left ventricle ejection fraction; LVESVi: indexed left ventricle and systolic volume; PAP: pulmonary artery pressure; PCI: percutaneous coronary intervention; TTE: transthoracic echocardiography; TIMI: thrombolysis in myocardial infarction; ΔQTc AI MA = delta QT corrected antero-inferior max; ΔQTc AI ME = delta QT corrected antero-inferior mean.	List
PMC3551220	ACR20, American College of Rheumatology 20% improvement response; CRP, C-reactive protein; DAS28, disease activity score in 28 joints; ICAM, intercellular adhesion molecule; IL, interleukin; IG, immunoglobulin; MDC, monocyte/macrophage-derived chemokine; MIP-1, macrophage inflammatory protein 1; MMP, matrix metalloproteinase; NS, not significant; PAP, prostatic acid phosphatase; PSA, prostate-specific antigen; PASI75, 75% improvement in the psoriasis area and severity index score; SGOT, serum glutamic oxaloacetic transaminase; TNF, tumour necrosis factor; VEGF, vascular endothelial growth factor.	List
PMC6349230	Ahn found that lentinan attenuates AIM2 and non‐canonical inflammation while increasing pro‐inflammatory cytokines via TLR.51 In the current study, we found that lentinan down‐regulated LPS‐induced TLR4‐mediated NF‐κB signalling pathway and the expression of various inflammatory cytokines, which are key factors in leucocyte extravasation, colitis and CAC.52 For example, it reduced the expression of IL‐13 and CD30L, which are two key factors in IBD and CAC.53, 54 We suppose that the inflammation‐modulating properties of lentinan may vary depending on cell type and the inflammatory microenvironment.	Wrong split
PMC5441536	At the beginning of 2016, scientists at the Broad Institute have finally unraveled the major risk locus from the PGC-schizophrenia GWAS: by an elegant integration of GWAS data with information on the effect of genetic variants on brain gene expression, they have identified a complement pathway component (C4A) as the causal gene for the robust association.7 Given the implication of C4A in synaptic elimination during post-natal development, this finding provides a robust genetic support to the longstanding theory of excessive synaptic pruning in schizophrenia, postulated back in 1982 (see ref. 8).	Valid
PMC5044511	Both are thought to be potential contributors to the central nervous system pathology in schizophrenia (Nawa et al., 2000; Roussos et al., 2012). PRKCE is involved in nerve growth factor (NFG)-induced neurite outgrowth and neuron morphological change. CNTNAP2 may play a major role in the formation of functionally distinct domains critical for saltatory conduction of nerve impulses in myelinated nerve fibers and, therefore, its epigenetic alteration is consistent with the hypothesis that schizophrenia results from poor or miswired anatomical or functional connections (Salgado-Pineda et al., 2007).	Wrong split
PMC6504231	IL-21 also can promote the differentiation of Th17 cells (Korn et al., 2007; Nurieva et al., 2007; Zhou et al., 2007), is required for the normal development of T follicular helper cells (Vogelzang et al., 2008) and optimal Th2 responses to helminth infection (Fröhlich et al., 2007; Pesce et al., 2006), has potent activity as an anti-tumor agent (Skak et al., 2008; Spolski and Leonard, 2014), and promotes the development of a range of autoimmune diseases (Bubier et al., 2009; Kwok et al., 2012; Spolski et al., 2008), suggesting that blocking IL-21 may be a therapeutic approach in such diseases.	Valid
PMC6512135	Illustration of proposed effects of the phosphoinositide 3‐kinase (PI3K) pathway inhibition on the heart in the setting of anthracycline cancer therapy. PI3K pathway inhibition, a central pathway downstream of receptor tyrosine kinases (RTKs), such as HER2 (Human Epidermal Growth Factor Receptor 2), promotes biventricular remodeling with reduced left ventricular (LV) mass and right ventricular (RV) dilation and reduced ejection fraction (EF) in the setting of chemotherapy involving wasting syndrome (cachexia), MAPK (p38 mitogen‐activated protein kinase) activation, and oxidation‐reduction stress.	Wrong split
PMC6368786	In addition, the CC genotype increased the risk of lung cancer among non-smokers (OR = 2.54, 95%CI = 1.20–5.35, P = 0.015) compared with the TT genotype.Table 5Association of TNFSF15 -358 T > C polymorphism with SCLC risk stratified by selected variablesVariablesGenotypes (Cases/Controls)CC/TT modelOR (95% CI)P valueCCCTTTGender Male42/8586/16426/871.66(0.93–2.95)0.086 Female24/2628/693/298.42(2.22–31.89)0.002Age <6035/7178/14625/601.15(0.62–2.15)0.653  ≥ 6031/4036/874/5611.04(3.57–34.15)< 0.001Smoking status Non-smoker36/5551/12312/552.54(1.20–5.35)0.015 Smoker30/5663/11017/611.88(0.92–3.84)0.086	Wrong split
PMC6679391	In contrast, infection of TK-silenced flies with P. luminescens displayed strong sensitivity, resulting in 50% survival by 18 hpi as compared to 24 hpi for the controls (Fig. 5C). TK-mediated lipid perturbation did not alter the survival rate of E. coli-infected flies (Fig. S4). Fig. 5.Intestinal steatosis modulates the survival of bacterially infected flies without affecting bacterial load. Survival and bacterial burden in flies knocked down for gut specific hormone TK driven under TKg-Gal4 (TKg>UAS-TK RNAi) following intrathoracic injection with 100–300 CFU of P. asymbiotica or P. luminescens.	Wrong split
PMC2327086	In fact, remarkable improvements in pathological condition in the lung and in survival rate of virus-infected mice were observed with l-NMMA, and with the O2– scavenger SOD and the XO inhibitor allopurinol as well.34,38 Furthermore, a therapeutic effect on influenza pathogenesis was found with a selenium-containing organic compound, ebselen (unpublished observation), which shows potent ONOO–-scavenging action.94 The beneficial effects of these pharmacological interventions indicate that ONOO– could be an important molecular species in the pathogenesis of influenza virus-induced pneumonia in mice.	Wrong split
PMC6349211	In the past decade, dozens of autotaxin inhibitors have been developed, some of which are now in phase‐II clinical trials for treatment of idiopathic pulmonary fibrosis and breast cancer.38 For example, ONO‐8430506, a tetrahydrocarboline derivative with an IC50 of 5 nmol/L for inhibition of plasma autotaxin activity can delay initial tumour growth by 60% in Balb/c mice with orthotopic 4T1 breast tumours and markedly reduced the subsequent lung and liver metastasis.39 Therefore, our study suggested autotaxin/LPA signalling was also a potential target for improving cardiomyopathy in obese condition.	Wrong split
PMC6517859	Ischemia eventually leads to the production of VEGF that activates tyrosine kinase receptors, VEGFR-1 and VEGFR-2.22 VEGF is a growth factor and potent vasoactive cytokine that promotes angiogenesis, breakdown of the blood-retinal barrier, and induces endothelial cell growth and neovascularization.23,24 Matsuoka et al.25 reported that expression of VEGF in diabetic retinas was significantly increased while Funatsu et al.26 suggested that VEGF levels in vitreous and plasma were elevated in diabetic patients with retinopathy when compared to normal subjects and diabetic patients without retinopathy.	Wrong split
PMC4575407	Key mediators of spontaneous HCV clearance are virus-specific T cells (reviewed in71), which remain readily detectable in the circulation for decades after clearance.72 Studies in chimpanzees were important to demonstrate that these T cells protect upon reinfection because depletion of either CD4 or CD8 T cells after recovery from a primary challenge abrogates protective immunity upon HCV rechallenge.73,74 Based on the fact that acute HCV infection can be cleared spontaneously, effective antiviral therapy of chronic infection should be able to completely eliminate HCV without the risk of relapse.	Wrong split
