id Note1 Note2 num All.SIDM00146_CPID1310_p-value All.SIDM00146_CPID1310_fdr All.SIDM00146_CPID1310_goodsgrna All.SIDM00146_CPID1310_lfc All.SIDM00146_CPID1313_p-value All.SIDM00146_CPID1313_fdr All.SIDM00146_CPID1313_goodsgrna All.SIDM00146_CPID1313_lfc All.SIDM00146_CPID1316_p-value All.SIDM00146_CPID1316_fdr All.SIDM00146_CPID1316_goodsgrna All.SIDM00146_CPID1316_lfc
ABL1~ADAD1 LibrarySingletons LibrarySingletons 4 0.061033 0.895601 1 0.10993 0.13422 1.0 1 0.16987 0.98758 1.0 0 -0.0024955
ABL1~AKT1 LibraryCombinations LibraryCombinations 4 0.94197 1.0 0 -0.014936 0.97306 1.0 0 -0.051022 0.98119 1.0 0 -0.066961
ABL1~AR LibraryCombinations LibraryCombinations 4 0.98975 1.0 0 -0.059942 0.96151 1.0 0 -0.11264 0.92061 1.0 1 -0.032323
ABL1~ARID1A LibraryCombinations LibraryCombinations 4 0.95663 1.0 0 -0.19717 0.96759 1.0 0 -0.16062 0.94644 1.0 0 -0.26832
ABL1~ARID1B LibraryCombinations LibraryCombinations 4 0.9343 1.0 1 -0.039618 0.33419 1.0 0 0.09695 0.96665 1.0 0 -0.0078837
ABL1~ATM LibraryCombinations LibraryCombinations 4 0.90935 1.0 1 -0.13475 0.36385 1.0 0 0.019041 0.27118 1.0 0 0.086039
ABL1~ATR LibraryCombinations LibraryCombinations 4 0.011068 0.138871 4 -1.2528 0.09971 0.443111 4 -0.96705 0.060848 0.341382 4 -1.0246
ABL1~BARD1 LibraryCombinations LibraryCombinations 4 0.93587 1.0 1 -0.15212 0.95139 1.0 0 -0.20868 0.97246 1.0 0 -0.13833
ABL1~BCL2 LibraryCombinations LibraryCombinations 4 0.36424 1.0 0 0.099198 0.18673 1.0 0 0.068525 0.2727 1.0 0 0.11498
ABL1~BCL2L1 LibraryCombinations LibraryCombinations 4 0.51072 1.0 3 -0.54024 0.95451 1.0 0 -0.25352 0.73146 1.0 2 -0.45007
ABL1~BRCA1 LibraryCombinations LibraryCombinations 4 0.71184 1.0 2 -0.54759 0.72657 1.0 2 -0.54948 0.4287 1.0 2 -0.6339
ABL1~BRCA2 LibraryCombinations LibraryCombinations 4 0.17503 0.597346 4 -0.76808 0.90972 1.0 1 -0.45138 0.30325 0.881978 3 -0.72503
ABL1~BRD4 LibraryCombinations LibraryCombinations 4 0.049996 0.30473 4 -0.8499 0.036696 0.265557 4 -1.0044 0.66229 1.0 2 -0.52844
ABL1~CDK12 LibraryCombinations LibraryCombinations 4 0.15445 0.557627 4 -0.83736 0.14029 0.530503 3 -1.0419 0.11823 0.49072 4 -0.94115
ABL1~CDK4 LibraryCombinations LibraryCombinations 4 0.42893 1.0 3 -0.64615 0.32007 0.905995 3 -0.73721 0.61295 1.0 2 -0.51932
ABL1~CDK6 LibraryCombinations LibraryCombinations 4 0.175 0.597346 4 -0.88512 0.06679 0.357846 2 -0.88933 0.3205 0.912213 2 -0.62559
ABL1~CDK7 LibraryCombinations LibraryCombinations 4 0.012389 0.147854 4 -1.3424 0.015864 0.172947 4 -1.3837 0.027216 0.223543 4 -1.2426
ABL1~CHEK1 LibraryCombinations LibraryCombinations 4 0.010879 0.137775 4 -1.2368 0.042429 0.28588 4 -1.2577 0.067628 0.362398 2 -0.81498
ABL1~CHEK2 LibraryCombinations LibraryCombinations 4 0.95902 1.0 0 -0.24771 0.96837 1.0 0 -0.21286 0.99458 1.0 0 -0.028175
ABL1~CYLC2 LibrarySingletons LibrarySingletons 4 0.96887 1.0 0 -0.019795 0.067722 0.920047 1 0.015801 0.97903 1.0 0 -0.023891
ABL1~DNMT1 LibraryCombinations LibraryCombinations 4 0.23286 0.736766 3 -0.60124 0.2044 0.670102 3 -0.86749 0.019211 0.187094 4 -0.88568
ABL1~DNMT3B LibraryCombinations LibraryCombinations 4 0.83915 1.0 1 -0.35317 0.87125 1.0 1 -0.3099 0.76637 1.0 2 -0.33615
ABL1~EZH2 LibraryCombinations LibraryCombinations 4 0.10444 1.0 1 0.16868 0.98584 1.0 0 -0.026267 0.2614 1.0 0 0.055922
ABL1~FGFR1 LibraryCombinations LibraryCombinations 4 0.36049 1.0 0 0.028168 0.97788 1.0 0 -0.040817 0.027915 0.492609 2 0.22486
ABL1~FGFR2 LibraryCombinations LibraryCombinations 4 0.14262 1.0 1 0.11219 0.21215 1.0 0 0.012211 0.43034 1.0 0 0.022483
ABL1~GALR1 LibrarySingletons LibrarySingletons 4 0.59377 1.0 2 -0.25679 0.48748 1.0 2 -0.34643 0.66634 1.0 2 -0.22836
ABL1~GLS LibraryCombinations LibraryCombinations 4 0.79724 1.0 2 -0.35491 0.5311 1.0 3 -0.53553 0.85314 1.0 1 -0.41922
ABL1~KMT2D LibraryCombinations LibraryCombinations 4 0.93932 1.0 0 -0.35448 0.82622 1.0 1 -0.37951 0.78149 1.0 2 -0.46596
ABL1~MCL1 LibraryCombinations LibraryCombinations 4 0.62662 1.0 2 -0.39121 0.66718 1.0 2 -0.25287 0.50175 1.0 1 -0.25281
ABL1~MTOR LibraryCombinations LibraryCombinations 4 0.32759 0.926713 3 -0.75045 0.023856 0.21754 4 -0.94147 0.16141 0.575508 4 -0.79756
ABL1~MYC LibraryCombinations LibraryCombinations 4 0.1741 0.596214 3 -0.82356 0.019677 0.195709 4 -1.138 0.011382 0.14414 4 -1.1867
ABL1~PARP1 LibraryCombinations LibraryCombinations 4 0.040509 0.734138 1 0.20859 0.047918 0.774614 1 0.24816 0.0035085 0.167486 2 0.29336
ABL1~PIK3CA LibraryCombinations LibraryCombinations 4 0.97352 1.0 0 -0.077459 0.80699 1.0 2 -0.40988 0.97206 1.0 0 -0.16979
ABL1~PIK3CB LibraryCombinations LibraryCombinations 4 0.85929 1.0 1 -0.36519 0.8491 1.0 1 -0.47168 0.752 1.0 2 -0.44905
ABL1~PRMT1 LibraryCombinations LibraryCombinations 4 0.010998 0.138356 4 -1.3919 0.013748 0.159617 4 -1.4351 0.25519 0.787766 3 -1.0485
ABL1~PRMT5 LibraryCombinations LibraryCombinations 4 0.0096091 0.129561 4 -1.2078 0.051189 0.313201 4 -1.016 0.10124 0.453403 4 -1.0034
ABL1~PTPN11 LibraryCombinations LibraryCombinations 4 0.92242 1.0 1 -0.21059 0.92353 1.0 1 -0.31896 0.80915 1.0 2 -0.39618
ABL1~RAD21 LibraryCombinations LibraryCombinations 4 0.20149 0.666279 3 -1.0066 0.040857 0.281448 4 -1.1169 0.26254 0.803186 3 -0.86314
ABL1~RAD51 LibraryCombinations LibraryCombinations 4 0.079874 0.390454 4 -0.80431 0.032319 0.25208 4 -0.94758 0.21075 0.690546 3 -0.87735
ABL1~RAF1 LibraryCombinations LibraryCombinations 4 0.82417 1.0 1 -0.27117 0.6664 1.0 2 -0.49487 0.44536 1.0 3 -0.60218
ABL1~TAZ LibraryCombinations LibraryCombinations 4 0.89811 1.0 1 -0.24202 0.8761 1.0 1 -0.33776 0.98425 1.0 0 -0.15922
ABL1~WEE1 LibraryCombinations LibraryCombinations 4 0.55612 1.0 2 -0.49747 0.56663 1.0 2 -0.32912 0.66628 1.0 2 -0.29321
ABL1~YAP1 LibraryCombinations LibraryCombinations 4 0.98691 1.0 0 -0.035433 0.95339 1.0 0 -0.059149 0.2593 1.0 0 0.039963
ABL2~ADAD1 LibrarySingletons LibrarySingletons 4 0.00092346 0.072831 2 0.40089 0.00054815 0.061751 3 0.30781 0.01599 0.396046 2 0.34228
ABL2~AKT1 LibraryCombinations LibraryCombinations 4 0.0666 0.92704 1 0.081414 0.11772 1.0 1 0.069127 0.11793 1.0 1 0.07877
ABL2~AR LibraryCombinations LibraryCombinations 4 0.059544 0.88801 1 0.13351 0.045322 0.753879 1 0.2289 0.028477 0.496259 1 0.1902
ABL2~ARID1A LibraryCombinations LibraryCombinations 4 0.20845 1.0 0 0.0431 0.89121 1.0 1 -0.14565 0.088516 0.991695 1 0.085479
ABL2~ARID1B LibraryCombinations LibraryCombinations 4 0.011125 0.352589 2 0.2421 0.081743 0.987922 1 0.23434 0.027451 0.489965 2 0.19705
ABL2~ATM LibraryCombinations LibraryCombinations 4 0.1623 1.0 1 0.18592 0.038768 0.690617 1 0.18166 0.27021 1.0 0 0.24927
ABL2~ATR LibraryCombinations LibraryCombinations 4 0.52512 1.0 2 -0.73173 0.31444 0.896618 3 -0.76177 0.68556 1.0 2 -0.53389
ABL2~BARD1 LibraryCombinations LibraryCombinations 4 0.098475 1.0 1 0.15608 0.029205 0.570526 1 0.15761 0.15385 1.0 1 0.11675
ABL2~BCL2 LibraryCombinations LibraryCombinations 4 0.020184 0.460549 1 0.28616 0.025805 0.52381 1 0.36942 0.020156 0.44027 2 0.28775
ABL2~BCL2L1 LibraryCombinations LibraryCombinations 4 0.27381 1.0 0 0.0068366 0.084378 1.0 1 0.059418 0.10501 1.0 1 0.069554
ABL2~BRCA1 LibraryCombinations LibraryCombinations 4 0.89475 1.0 1 -0.29822 0.83763 1.0 1 -0.34984 0.61405 1.0 2 -0.47357
ABL2~BRCA2 LibraryCombinations LibraryCombinations 4 0.52436 1.0 3 -0.47146 0.5313 1.0 3 -0.50397 0.43513 1.0 3 -0.58722
ABL2~BRD4 LibraryCombinations LibraryCombinations 4 0.3722 0.991781 3 -0.62569 0.26438 0.803012 2 -0.56946 0.46057 1.0 3 -0.5037
ABL2~CDK12 LibraryCombinations LibraryCombinations 4 0.64004 1.0 2 -0.49397 0.46328 1.0 2 -0.56584 0.40602 1.0 3 -0.57216
ABL2~CDK4 LibraryCombinations LibraryCombinations 4 0.81722 1.0 1 -0.38596 0.71311 1.0 2 -0.39055 0.72234 1.0 2 -0.41722
ABL2~CDK6 LibraryCombinations LibraryCombinations 4 0.4085 1.0 3 -0.75866 0.3875 1.0 1 -0.53529 0.60735 1.0 2 -0.48576
ABL2~CDK7 LibraryCombinations LibraryCombinations 4 0.015748 0.166642 4 -1.3772 0.0013799 0.045409 4 -1.3203 0.11498 0.482521 3 -0.8594
ABL2~CHEK1 LibraryCombinations LibraryCombinations 4 0.00036777 0.018148 4 -1.3313 0.0069497 0.115206 4 -1.4249 0.17341 0.59717 4 -0.83203
ABL2~CHEK2 LibraryCombinations LibraryCombinations 4 0.041425 0.742961 1 0.18049 0.14442 1.0 1 0.14164 0.027084 0.488547 2 0.10485
ABL2~CYLC2 LibrarySingletons LibrarySingletons 4 0.061566 0.897482 1 0.085634 0.024626 0.504903 1 0.27841 0.1115 1.0 1 0.14116
ABL2~DNMT1 LibraryCombinations LibraryCombinations 4 0.60304 1.0 2 -0.471 0.49861 1.0 3 -0.44552 0.65274 1.0 1 -0.44272
ABL2~DNMT3B LibraryCombinations LibraryCombinations 4 0.056391 0.86905 1 0.068013 0.26613 1.0 0 0.0076931 0.30201 1.0 0 0.073995
ABL2~EZH2 LibraryCombinations LibraryCombinations 4 0.25855 1.0 0 0.033871 0.01902 0.431802 2 0.37743 0.0061648 0.233638 2 0.34055
ABL2~FGFR1 LibraryCombinations LibraryCombinations 4 0.011511 0.360004 2 0.23198 0.014051 0.376956 2 0.19322 0.055788 0.797149 1 0.34018
ABL2~FGFR2 LibraryCombinations LibraryCombinations 4 0.0039161 0.190765 2 0.31728 0.014301 0.37777 2 0.37077 0.025389 0.479137 2 0.30044
ABL2~GALR1 LibrarySingletons LibrarySingletons 4 0.61246 1.0 2 -0.31914 0.70034 1.0 2 -0.076224 0.75075 1.0 2 -0.02498
ABL2~GLS LibraryCombinations LibraryCombinations 4 0.71148 1.0 2 -0.26543 0.71632 1.0 1 -0.42776 0.64853 1.0 2 -0.43606
ABL2~KMT2D LibraryCombinations LibraryCombinations 4 0.94717 1.0 0 -0.083763 0.91965 1.0 1 -0.29979 0.94432 1.0 0 -0.28207
ABL2~MCL1 LibraryCombinations LibraryCombinations 4 0.67378 1.0 2 -0.22421 0.02935 0.5716 1 0.086996 0.77596 1.0 1 -0.033564
ABL2~MTOR LibraryCombinations LibraryCombinations 4 0.49876 1.0 3 -0.52611 0.28698 0.84692 3 -0.71211 0.47002 1.0 3 -0.58155
ABL2~MYC LibraryCombinations LibraryCombinations 4 0.062242 0.343632 4 -0.92256 0.048001 0.303245 4 -0.93136 0.0091766 0.131716 4 -1.0449
ABL2~PARP1 LibraryCombinations LibraryCombinations 4 0.0049131 0.223874 1 0.28806 0.00072489 0.068014 3 0.39266 0.0019558 0.117516 2 0.46241
ABL2~PIK3CA LibraryCombinations LibraryCombinations 4 0.26172 1.0 0 0.03719 0.12471 1.0 1 0.092881 0.35953 1.0 0 0.053164
ABL2~PIK3CB LibraryCombinations LibraryCombinations 4 0.91348 1.0 1 -0.19918 0.78229 1.0 2 -0.3012 0.84265 1.0 1 -0.32676
ABL2~PRMT1 LibraryCombinations LibraryCombinations 4 0.1098 0.464536 3 -1.0765 0.06821 0.361092 4 -1.1003 0.10137 0.453481 3 -1.1155
ABL2~PRMT5 LibraryCombinations LibraryCombinations 4 0.077166 0.382857 4 -0.80968 0.3656 0.981062 3 -0.79216 0.1306 0.515462 4 -0.72682
ABL2~PTPN11 LibraryCombinations LibraryCombinations 4 0.8835 1.0 1 -0.29661 0.93689 1.0 1 -0.13099 0.85123 1.0 1 -0.24135
ABL2~RAD21 LibraryCombinations LibraryCombinations 4 0.44876 1.0 3 -0.77143 0.62155 1.0 2 -0.46896 0.46808 1.0 3 -0.772
ABL2~RAD51 LibraryCombinations LibraryCombinations 4 0.05274 0.313916 4 -0.88543 0.4332 1.0 2 -0.70087 0.18673 0.630102 3 -0.75651
ABL2~RAF1 LibraryCombinations LibraryCombinations 4 0.94177 1.0 0 -0.14432 0.69626 1.0 1 -0.21787 0.44829 1.0 0 0.01008
ABL2~TAZ LibraryCombinations LibraryCombinations 4 0.84198 1.0 1 -0.040107 0.83618 1.0 1 -0.092513 0.95612 1.0 0 -0.0015512
ABL2~WEE1 LibraryCombinations LibraryCombinations 4 0.63068 1.0 2 -0.24258 0.54136 1.0 2 -0.19539 0.71191 1.0 2 -0.0249
ABL2~YAP1 LibraryCombinations LibraryCombinations 4 0.054801 0.861052 1 0.15801 0.00068174 0.065914 3 0.32059 0.001318 0.094356 3 0.38259
ACTB~ADAD1 LibrarySingletons LibrarySingletons 4 0.21005 1.0 0 0.09401 0.9602 1.0 0 -0.041218 0.34371 1.0 0 0.02025
ACTB~AKT1 LibraryCombinations LibraryCombinations 4 0.94896 1.0 0 -0.16091 0.97028 1.0 0 -0.0038821 0.89468 1.0 1 -0.31208
ACTB~AR LibraryCombinations LibraryCombinations 4 0.018848 0.447289 2 0.21703 0.14401 1.0 1 0.18396 0.060079 0.835652 1 0.24062
ACTB~ARID1A LibraryCombinations LibraryCombinations 4 0.8357 1.0 1 -0.25471 0.72259 1.0 1 -0.31583 0.91779 1.0 1 -0.26052
ACTB~ARID1B LibraryCombinations LibraryCombinations 4 0.41408 1.0 0 0.050069 0.97718 1.0 0 -0.049399 0.94327 1.0 0 -0.20793
ACTB~ATM LibraryCombinations LibraryCombinations 4 0.9848 1.0 0 -0.03792 0.18999 1.0 0 0.19561 0.98535 1.0 0 -0.097491
ACTB~ATR LibraryCombinations LibraryCombinations 4 0.08078 0.392839 4 -0.89017 0.16748 0.581887 3 -0.97582 0.2708 0.820253 3 -0.81652
ACTB~BARD1 LibraryCombinations LibraryCombinations 4 0.041887 0.748082 1 0.17628 0.049671 0.78972 1 0.1756 0.96319 1.0 0 -0.054389
ACTB~BCL2 LibraryCombinations LibraryCombinations 4 0.31262 1.0 0 0.1385 0.11994 1.0 1 0.21666 0.21085 1.0 0 0.067298
ACTB~BCL2L1 LibraryCombinations LibraryCombinations 4 0.096005 1.0 1 0.0034789 0.88584 1.0 1 -0.22856 0.95717 1.0 0 -0.2412
ACTB~BRCA1 LibraryCombinations LibraryCombinations 4 0.74918 1.0 2 -0.28401 0.87383 1.0 1 -0.24471 0.86227 1.0 1 -0.39724
ACTB~BRCA2 LibraryCombinations LibraryCombinations 4 0.39576 1.0 3 -0.70599 0.69452 1.0 2 -0.50102 0.61034 1.0 2 -0.55241
ACTB~BRD4 LibraryCombinations LibraryCombinations 4 0.067495 0.358888 4 -0.66442 0.3179 0.901852 3 -0.62218 0.50386 1.0 3 -0.4705
