targetFromSourceId	datasourceIds	evidenceCount	unnamed
" "	[phewas_catalog]	90	
ENSG00000277796	[phenodigm]	60	
ENSG00000269881	[ot_genetics_portal, expression_atlas]	48	
ENSG00000130489	[ot_genetics_portal, expression_atlas]	45	
ENSG00000254462	[ot_genetics_portal]	43	
ENSG00000283932	[ot_genetics_portal]	42	
ENSG00000278272	[ot_genetics_portal, expression_atlas]	36	
ENSG00000270898	[ot_genetics_portal]	34	
ENSG00000278500	[ot_genetics_portal, expression_atlas]	32	
ENSG00000267034	[expression_atlas]	25	
P43627	[chembl]	25	
ENSG00000261833	[ot_genetics_portal]	23	
ENSG00000274267	[ot_genetics_portal, expression_atlas]	22	
ENSG00000274847	[phenodigm]	21	
ENSG00000204683	[ot_genetics_portal, expression_atlas]	20	
ENSG00000285258	[ot_genetics_portal]	20	
ENSG00000267545	[ot_genetics_portal]	20	
ENSG00000286169	[ot_genetics_portal, expression_atlas]	18	
Q5NV64	[reactome]	17	
Q5NV80	[reactome]	17	
Q5NV85	[reactome]	17	
Q5NV67	[reactome]	17	
Q5NV92	[reactome]	17	
Q5NV91	[reactome]	17	
Q5NV82	[reactome]	17	
Q5NV75	[reactome]	17	
Q5NV79	[reactome]	17	
Q5NV68	[reactome]	17	
Q5NV65	[reactome]	17	
Q5NV69	[reactome]	17	
Q5NV86	[reactome]	17	
Q5NV89	[reactome]	17	
Q5NV61	[reactome]	17	
Q5NV81	[reactome]	17	
A2NXD2	[reactome]	17	
Q5NV84	[reactome]	17	
P01782	[reactome]	17	
Q5NV83	[reactome]	17	
Q5NV90	[reactome]	17	
A2KUC3	[reactome]	17	
Q5NV66	[reactome]	17	
Q6PIL0	[reactome]	17	
ENSG00000263264	[ot_genetics_portal, expression_atlas]	17	
Q5NV87	[reactome]	17	
Q5NV62	[reactome]	17	
ENSG00000261409	[expression_atlas]	16	
ENSG00000181013	[ot_genetics_portal, expression_atlas]	14	
ENSG00000275063	[expression_atlas]	14	
ENSG00000243444	[ot_genetics_portal, expression_atlas]	14	
ENSG00000241978	[ot_genetics_portal, expression_atlas]	13	
ENSG00000233864	[expression_atlas]	13	
ENSG00000268861	[ot_genetics_portal]	13	
P13762	[chembl]	12	
P79483	[chembl]	12	
ENSG00000183729	[ot_genetics_portal, expression_atlas]	11	
ENSG00000277836	[expression_atlas]	11	
ENSG00000184258	[expression_atlas]	10	
ENSG00000274956	[expression_atlas]	10	
ENSG00000279986	[expression_atlas]	9	
ENSG00000279487	[expression_atlas]	9	
ENSG00000260300	[ot_genetics_portal]	8	
