Old stable ID, New stable ID, Release, Mapping score
ENSG00000269881.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000130489.1, ENSG00000130489.1, 3, 0
ENSG00000130489.1, ENSG00000130489.2, 26, 0
ENSG00000130489.2, ENSG00000130489.3, 38, 0
ENSG00000130489.3, ENSG00000130489.4, 47, 0.643995
ENSG00000130489.4, ENSG00000130489.5, 50, 0.987275
ENSG00000130489.5, ENSG00000130489.6, 55, 0.892645
ENSG00000130489.6, ENSG00000130489.7, 56, 0.999527
ENSG00000130489.7, ENSG00000130489.8, 62, 0.963061
ENSG00000130489.8, ENSG00000130489.9, 76, 1
ENSG00000130489.9, ENSG00000130489.10, 77, 1
ENSG00000130489.10, ENSG00000130489.11, 79, 1
ENSG00000130489.11, ENSG00000130489.12, 81, 1
ENSG00000130489.12, ENSG00000130489.13, 85, 0.974388
ENSG00000130489.13, ENSG00000130489.14, 88, 0.948521
ENSG00000130489.14, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000254462.1, <retired>, 99, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000283932.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000278272.1, ENSG00000286522.1, 97, 0.896401
ENSG00000278272.1, <retired>, 97, 0
ENSG00000278272.1, ENSG00000287080.1, 97, 0.947712

Old stable ID, New stable ID, Release, Mapping score
ENSG00000270898.1, ENSG00000270898.2, 76, 0.99298
ENSG00000270898.2, ENSG00000270898.3, 77, 1
ENSG00000270898.3, ENSG00000270898.4, 79, 1
ENSG00000270898.4, ENSG00000270898.5, 81, 0.99298
ENSG00000270898.5, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000278500.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000261833.1, ENSG00000261833.2, 77, 0.842175
ENSG00000261833.2, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000274267.1, ENSG00000287080.1, 97, 0.944828
ENSG00000274267.1, <retired>, 97, 0
ENSG00000274267.1, ENSG00000286522.1, 97, 0.896401

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204683.1, ENSG00000204683.2, 40, 0.666667
ENSG00000204683.2, ENSG00000204683.3, 55, 0.916745
ENSG00000204683.3, ENSG00000204683.4, 56, 0.925744
ENSG00000204683.4, ENSG00000204683.5, 61, 0.966669
ENSG00000204683.5, ENSG00000204683.6, 62, 0.992742
ENSG00000204683.6, ENSG00000204683.7, 76, 0.999832
ENSG00000204683.7, ENSG00000204683.8, 77, 1
ENSG00000204683.8, ENSG00000204683.9, 79, 1
ENSG00000204683.9, ENSG00000204683.10, 81, 1
ENSG00000204683.10, ENSG00000204683.11, 94, 0.866198
ENSG00000204683.11, ENSG00000204683.11, 98, 0.940676
ENSG00000204683.11, ENSG00000204683.11, 99, 0.940676
ENSG00000204683.11, ENSG00000204683.12, 100, 0.903196
